season,city,date,team1,team2,winner,win_by_runs,win_by_wickets,player_of_match,venue
2016,Bangalore,12-04-2016,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,45,0,AB de Villiers,M Chinnaswamy Stadium
2016,Chandigarh,11-04-2016,Kings XI Punjab,Gujarat Lions,Gujarat Lions,0,5,AJ Finch,"Punjab Cricket Association IS Bindra Stadium, Mohali"
2016,Kolkata,10-04-2016,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,0,9,AD Russell,Eden Gardens
2016,Mumbai,09-04-2016,Mumbai Indians,Rising Pune Supergiants,Rising Pune Supergiants,0,9,AM Rahane,Wankhede Stadium
2015,Kolkata,24-05-2015,Mumbai Indians,Chennai Super Kings,Mumbai Indians,41,0,RG Sharma,Eden Gardens
2015,Ranchi,22-05-2015,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,0,3,A Nehra,JSCA International Stadium Complex
2015,Pune,20-05-2015,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,71,0,AB de Villiers,Maharashtra Cricket Association Stadium
2015,Mumbai,19-05-2015,Chennai Super Kings,Mumbai Indians,Mumbai Indians,25,0,KA Pollard,Wankhede Stadium
2015,Hyderabad,17-05-2015,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,0,9,MJ McClenaghan,"Rajiv Gandhi International Stadium, Uppal"
2015,Bangalore,17-05-2015,Royal Challengers Bangalore,Delhi Daredevils,NA,0,0,None,M Chinnaswamy Stadium
2015,Mumbai,16-05-2015,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,9,0,SR Watson,Brabourne Stadium
2015,Chandigarh,16-05-2015,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,0,7,P Negi,"Punjab Cricket Association Stadium, Mohali"
2015,Hyderabad,15-05-2015,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,0,6,V Kohli,"Rajiv Gandhi International Stadium, Uppal"
2015,Mumbai,14-05-2015,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,5,0,HH Pandya,Wankhede Stadium
2015,Chandigarh,13-05-2015,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,22,0,AR Patel,"Punjab Cricket Association Stadium, Mohali"
2015,Raipur,12-05-2015,Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,0,6,Z Khan,Shaheed Veer Narayan Singh International Stadium
2015,Hyderabad,11-05-2015,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,5,0,DA Warner,"Rajiv Gandhi International Stadium, Uppal"
2015,Mumbai,10-05-2015,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,39,0,AB de Villiers,Wankhede Stadium
2015,Chennai,10-05-2015,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,12,0,RA Jadeja,"MA Chidambaram Stadium, Chepauk"
2015,Kolkata,09-05-2015,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,0,1,AD Russell,Eden Gardens
2015,Raipur,09-05-2015,Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad,6,0,MC Henriques,Shaheed Veer Narayan Singh International Stadium
2015,Chennai,08-05-2015,Chennai Super Kings,Mumbai Indians,Mumbai Indians,0,6,HH Pandya,"MA Chidambaram Stadium, Chepauk"
2015,Kolkata,07-05-2015,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,13,0,PP Chawla,Eden Gardens
2015,Mumbai,07-05-2015,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,7,0,EJG Morgan,Brabourne Stadium
2015,Bangalore,06-05-2015,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,138,0,CH Gayle,M Chinnaswamy Stadium
2015,Mumbai,05-05-2015,Mumbai Indians,Delhi Daredevils,Mumbai Indians,0,5,Harbhajan Singh,Wankhede Stadium
2015,Chennai,04-05-2015,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,24,0,SK Raina,"MA Chidambaram Stadium, Chepauk"
2015,Kolkata,04-05-2015,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,35,0,UT Yadav,Eden Gardens
2015,Mumbai,03-05-2015,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,14,0,AM Rahane,Brabourne Stadium
2015,Chandigarh,03-05-2015,Kings XI Punjab,Mumbai Indians,Mumbai Indians,23,0,LMP Simmons,"Punjab Cricket Association Stadium, Mohali"
2015,Bangalore,02-05-2015,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,0,7,Mandeep Singh,M Chinnaswamy Stadium
2015,Hyderabad,02-05-2015,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,22,0,DA Warner,"Rajiv Gandhi International Stadium, Uppal"
2015,Delhi,01-05-2015,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,0,9,NM Coulter-Nile,Feroz Shah Kotla
2015,Mumbai,01-05-2015,Mumbai Indians,Rajasthan Royals,Mumbai Indians,8,0,AT Rayudu,Wankhede Stadium
2015,Kolkata,30-04-2015,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,0,7,AD Russell,Eden Gardens
2015,Bangalore,29-04-2015,Royal Challengers Bangalore,Rajasthan Royals,NA,0,0,None,M Chinnaswamy Stadium
2015,Chennai,28-04-2015,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,2,0,DJ Bravo,"MA Chidambaram Stadium, Chepauk"
2015,Chandigarh,27-04-2015,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,20,0,TA Boult,"Punjab Cricket Association Stadium, Mohali"
2015,Delhi,26-04-2015,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,0,10,VR Aaron,Feroz Shah Kotla
2015,Chennai,25-04-2015,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,97,0,BB McCullum,"MA Chidambaram Stadium, Chepauk"
