season,city,date,team1,team2,winner,win_by_runs,win_by_wickets,player_of_match,venue
2013,Delhi,10-05-2013,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,4,0,JD Unadkat,Feroz Shah Kotla
2013,Pune,09-05-2013,Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders,46,0,G Gambhir,Subrata Roy Sahara Stadium
2013,Chandigarh,09-05-2013,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,0,8,KK Cooper,"Punjab Cricket Association Stadium, Mohali"
2013,Hyderabad,08-05-2013,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,77,0,SK Raina,"Rajiv Gandhi International Stadium, Uppal"
2013,Mumbai,07-05-2013,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,65,0,SR Tendulkar,Wankhede Stadium
2013,Jaipur,07-05-2013,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,0,9,AM Rahane,Sawai Mansingh Stadium
2013,Chandigarh,06-05-2013,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,0,6,DA Miller,"Punjab Cricket Association Stadium, Mohali"
2013,Jaipur,05-05-2013,Rajasthan Royals,Pune Warriors,Rajasthan Royals,0,5,AM Rahane,Sawai Mansingh Stadium
2013,Mumbai,05-05-2013,Mumbai Indians,Chennai Super Kings,Mumbai Indians,60,0,MG Johnson,Wankhede Stadium
2013,Hyderabad,04-05-2013,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,0,6,DJG Sammy,"Rajiv Gandhi International Stadium, Uppal"
2013,Kolkata,03-05-2013,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,0,8,YK Pathan,Eden Gardens
2013,Pune,02-05-2013,Pune Warriors,Royal Challengers Bangalore,Royal Challengers Bangalore,17,0,AB de Villiers,Subrata Roy Sahara Stadium
2013,Chennai,02-05-2013,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,15,0,SK Raina,"MA Chidambaram Stadium, Chepauk"
2013,Hyderabad,01-05-2013,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,0,7,I Sharma,"Rajiv Gandhi International Stadium, Uppal"
2013,Raipur,01-05-2013,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,0,7,DA Warner,Shaheed Veer Narayan Singh International Stadium
2013,Pune,30-04-2013,Pune Warriors,Chennai Super Kings,Chennai Super Kings,37,0,MS Dhoni,Subrata Roy Sahara Stadium
2013,Jaipur,29-04-2013,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,0,4,SV Samson,Sawai Mansingh Stadium
2013,Mumbai,29-04-2013,Mumbai Indians,Kings XI Punjab,Mumbai Indians,4,0,RG Sharma,Wankhede Stadium
2013,Raipur,28-04-2013,Delhi Daredevils,Pune Warriors,Delhi Daredevils,15,0,DA Warner,Shaheed Veer Narayan Singh International Stadium
2013,Chennai,28-04-2013,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,14,0,MEK Hussey,"MA Chidambaram Stadium, Chepauk"
2013,Mumbai,27-04-2013,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,58,0,DR Smith,Wankhede Stadium
2013,Jaipur,27-04-2013,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,0,8,JP Faulkner,Sawai Mansingh Stadium
2013,Kolkata,26-04-2013,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,0,6,JH Kallis,Eden Gardens
2013,Chennai,25-04-2013,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,0,5,MS Dhoni,"MA Chidambaram Stadium, Chepauk"
2013,Kolkata,24-04-2013,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,0,5,DR Smith,Eden Gardens
2013,Bangalore,23-04-2013,Royal Challengers Bangalore,Pune Warriors,Royal Challengers Bangalore,130,0,CH Gayle,M Chinnaswamy Stadium
2013,Delhi,23-04-2013,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,0,5,Harmeet Singh,Feroz Shah Kotla
2013,Chennai,22-04-2013,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,0,5,MEK Hussey,"MA Chidambaram Stadium, Chepauk"
2013,Chandigarh,21-04-2013,Kings XI Punjab,Pune Warriors,Kings XI Punjab,0,7,DA Miller,"Punjab Cricket Association Stadium, Mohali"
2013,Delhi,21-04-2013,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,0,9,V Sehwag,Feroz Shah Kotla
2013,Kolkata,20-04-2013,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,0,4,RA Jadeja,Eden Gardens
2013,Bangalore,20-04-2013,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,0,7,R Vinay Kumar,M Chinnaswamy Stadium
2013,Hyderabad,19-04-2013,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,0,5,GH Vihari,"Rajiv Gandhi International Stadium, Uppal"
2013,Delhi,18-04-2013,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,86,0,MEK Hussey,Feroz Shah Kotla
2013,Jaipur,17-04-2013,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,87,0,AM Rahane,Sawai Mansingh Stadium
2013,Pune,17-04-2013,Pune Warriors,Sunrisers Hyderabad,Sunrisers Hyderabad,11,0,A Mishra,Maharashtra Cricket Association Stadium
2013,Chandigarh,16-04-2013,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,4,0,MS Gony,"Punjab Cricket Association Stadium, Mohali"
2013,Bangalore,16-04-2013,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,0,0,V Kohli,M Chinnaswamy Stadium
2013,Chennai,15-04-2013,Chennai Super Kings,Pune Warriors,Pune Warriors,24,0,SPD Smith,"MA Chidambaram Stadium, Chepauk"
2013,Kolkata,14-04-2013,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,48,0,G Gambhir,Eden Gardens
2013,Jaipur,14-04-2013,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,0,6,JP Faulkner,Sawai Mansingh Stadium
2013,Chennai,13-04-2013,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,0,4,RA Jadeja,"MA Chidambaram Stadium, Chepauk"
2013,Mumbai,13-04-2013,Mumbai Indians,Pune Warriors,Mumbai Indians,41,0,RG Sharma,Wankhede Stadium
2013,Delhi,12-04-2013,Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad,0,3,A Mishra,Feroz Shah Kotla
2013,Pune,11-04-2013,Pune Warriors,Rajasthan Royals,Pune Warriors,0,7,AJ Finch,Subrata Roy Sahara Stadium
2013,Bangalore,11-04-2013,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,0,8,CH Gayle,M Chinnaswamy Stadium
2013,Chandigarh,10-04-2013,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,0,10,MEK Hussey,"Punjab Cricket Association Stadium, Mohali"
2013,Bangalore,09-04-2013,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,0,7,V Kohli,M Chinnaswamy Stadium
2013,Mumbai,09-04-2013,Mumbai Indians,Delhi Daredevils,Mumbai Indians,44,0,KD Karthik,Wankhede Stadium
2013,Jaipur,08-04-2013,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,19,0,SK Trivedi,Sawai Mansingh Stadium
2013,Pune,07-04-2013,Pune Warriors,Kings XI Punjab,Kings XI Punjab,0,8,M Vohra,Subrata Roy Sahara Stadium
2013,Hyderabad,07-04-2013,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,0,0,GH Vihari,"Rajiv Gandhi International Stadium, Uppal"
2013,Chennai,06-04-2013,Chennai Super Kings,Mumbai Indians,Mumbai Indians,9,0,KA Pollard,"MA Chidambaram Stadium, Chepauk"
2013,Delhi,06-04-2013,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,5,0,R Dravid,Feroz Shah Kotla
2013,Hyderabad,05-04-2013,Sunrisers Hyderabad,Pune Warriors,Sunrisers Hyderabad,22,0,A Mishra,"Rajiv Gandhi International Stadium, Uppal"
2013,Bangalore,04-04-2013,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,2,0,CH Gayle,M Chinnaswamy Stadium
2013,Kolkata,03-04-2013,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,0,6,SP Narine,Eden Gardens
2012,Chennai,27-05-2012,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,0,5,MS Bisla,"MA Chidambaram Stadium, Chepauk"
2012,Chennai,25-05-2012,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,86,0,M Vijay,"MA Chidambaram Stadium, Chepauk"
2012,Bangalore,23-05-2012,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,38,0,MS Dhoni,M Chinnaswamy Stadium
2012,Pune,22-05-2012,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,18,0,YK Pathan,Subrata Roy Sahara Stadium
2012,Hyderabad,20-05-2012,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,9,0,DW Steyn,"Rajiv Gandhi International Stadium, Uppal"
2012,Jaipur,20-05-2012,Rajasthan Royals,Mumbai Indians,Mumbai Indians,0,10,DR Smith,Sawai Mansingh Stadium
2012,Pune,19-05-2012,Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders,34,0,Shakib Al Hasan,Subrata Roy Sahara Stadium
2012,Dharamsala,19-05-2012,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,0,6,UT Yadav,Himachal Pradesh Cricket Association Stadium
2012,Hyderabad,18-05-2012,Deccan Chargers,Rajasthan Royals,Deccan Chargers,0,5,DW Steyn,"Rajiv Gandhi International Stadium, Uppal"
2012,Delhi,17-05-2012,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,21,0,CH Gayle,Feroz Shah Kotla
2012,Dharamsala,17-05-2012,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,0,6,AC Gilchrist,Himachal Pradesh Cricket Association Stadium
2012,Mumbai,16-05-2012,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,32,0,SP Narine,Wankhede Stadium
2012,Delhi,15-05-2012,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,0,5,UT Yadav,Feroz Shah Kotla
2012,Bangalore,14-05-2012,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,0,5,AT Rayudu,M Chinnaswamy Stadium
2012,Kolkata,14-05-2012,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,0,5,MEK Hussey,Eden Gardens
2012,Jaipur,13-05-2012,Rajasthan Royals,Pune Warriors,Rajasthan Royals,45,0,A Chandila,Sawai Mansingh Stadium
2012,Chandigarh,13-05-2012,Kings XI Punjab,Deccan Chargers,Kings XI Punjab,0,4,DJ Hussey,"Punjab Cricket Association Stadium, Mohali"
2012,Kolkata,12-05-2012,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,27,0,RG Sharma,Eden Gardens
2012,Chennai,12-05-2012,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,0,9,BW Hilfenhaus,"MA Chidambaram Stadium, Chepauk"
2012,Pune,11-05-2012,Pune Warriors,Royal Challengers Bangalore,Royal Challengers Bangalore,35,0,CH Gayle,Subrata Roy Sahara Stadium
2012,Jaipur,10-05-2012,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,0,4,BW Hilfenhaus,Sawai Mansingh Stadium
2012,Hyderabad,10-05-2012,Deccan Chargers,Delhi Daredevils,Delhi Daredevils,0,9,DA Warner,"Rajiv Gandhi International Stadium, Uppal"
2012,Mumbai,09-05-2012,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,0,9,CH Gayle,Wankhede Stadium
2012,Pune,08-05-2012,Pune Warriors,Rajasthan Royals,Rajasthan Royals,0,7,SR Watson,Subrata Roy Sahara Stadium
2012,Hyderabad,08-05-2012,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,25,0,Mandeep Singh,"Rajiv Gandhi International Stadium, Uppal"
2012,Delhi,07-05-2012,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,0,6,JH Kallis,Feroz Shah Kotla
2012,Mumbai,06-05-2012,Mumbai Indians,Chennai Super Kings,Mumbai Indians,0,2,DR Smith,Wankhede Stadium
2012,Bangalore,06-05-2012,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore,0,5,AB de Villiers,M Chinnaswamy Stadium
2012,Kolkata,05-05-2012,Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,7,0,SP Narine,Eden Gardens
2012,Chandigarh,05-05-2012,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,43,0,SR Watson,"Punjab Cricket Association Stadium, Mohali"
2012,Chennai,04-05-2012,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,10,0,SK Raina,"MA Chidambaram Stadium, Chepauk"
2012,Pune,03-05-2012,Pune Warriors,Mumbai Indians,Mumbai Indians,1,0,SL Malinga,Subrata Roy Sahara Stadium
2012,Bangalore,02-05-2012,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,0,4,Azhar Mahmood,M Chinnaswamy Stadium
2012,Jaipur,01-05-2012,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,0,6,P Negi,Sawai Mansingh Stadium
2012,Cuttack,01-05-2012,Deccan Chargers,Pune Warriors,Deccan Chargers,13,0,KC Sangakkara,Barabati Stadium
2012,Chennai,30-04-2012,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,0,5,G Gambhir,"MA Chidambaram Stadium, Chepauk"
2012,Delhi,29-04-2012,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,1,0,V Sehwag,Feroz Shah Kotla
2012,Mumbai,29-04-2012,Mumbai Indians,Deccan Chargers,Mumbai Indians,0,5,DW Steyn,Wankhede Stadium
2012,Chennai,28-04-2012,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,7,0,Mandeep Singh,"MA Chidambaram Stadium, Chepauk"
2012,Kolkata,28-04-2012,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,47,0,G Gambhir,Eden Gardens
2012,Delhi,27-04-2012,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,37,0,V Sehwag,Feroz Shah Kotla
2012,Pune,26-04-2012,Pune Warriors,Deccan Chargers,Deccan Chargers,18,0,CL White,Subrata Roy Sahara Stadium
2012,Chandigarh,25-04-2012,Kings XI Punjab,Mumbai Indians,Mumbai Indians,0,4,AT Rayudu,"Punjab Cricket Association Stadium, Mohali"
2012,Pune,24-04-2012,Pune Warriors,Delhi Daredevils,Delhi Daredevils,0,8,V Sehwag,Subrata Roy Sahara Stadium
2012,Jaipur,23-04-2012,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,46,0,AB de Villiers,Sawai Mansingh Stadium
2012,Mumbai,22-04-2012,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,0,6,SE Marsh,Wankhede Stadium
2012,Cuttack,22-04-2012,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,0,5,B Lee,Barabati Stadium
2012,Chennai,21-04-2012,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,0,7,F du Plessis,"MA Chidambaram Stadium, Chepauk"
2012,Delhi,21-04-2012,Delhi Daredevils,Pune Warriors,Pune Warriors,20,0,SC Ganguly,Feroz Shah Kotla
2012,Chandigarh,20-04-2012,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,0,5,CH Gayle,"Punjab Cricket Association Stadium, Mohali"
2012,Delhi,19-04-2012,Delhi Daredevils,Deccan Chargers,Delhi Daredevils,0,5,KP Pietersen,Feroz Shah Kotla
2012,Chennai,19-04-2012,Chennai Super Kings,Pune Warriors,Chennai Super Kings,13,0,KMDN Kulasekara,"MA Chidambaram Stadium, Chepauk"
2012,Chandigarh,18-04-2012,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,0,8,G Gambhir,"Punjab Cricket Association Stadium, Mohali"
2012,Jaipur,17-04-2012,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,0,5,BJ Hodge,Sawai Mansingh Stadium
2012,Bangalore,17-04-2012,Royal Challengers Bangalore,Pune Warriors,Royal Challengers Bangalore,0,6,CH Gayle,M Chinnaswamy Stadium
2012,Mumbai,16-04-2012,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,0,7,S Nadeem,Wankhede Stadium
2012,Kolkata,15-04-2012,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,2,0,SP Narine,Eden Gardens
2012,Bangalore,15-04-2012,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,59,0,AM Rahane,M Chinnaswamy Stadium
2012,Pune,14-04-2012,Pune Warriors,Chennai Super Kings,Pune Warriors,0,7,JD Ryder,Subrata Roy Sahara Stadium
2012,Kolkata,13-04-2012,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,0,5,Shakib Al Hasan,Eden Gardens
2012,Chandigarh,12-04-2012,Kings XI Punjab,Pune Warriors,Kings XI Punjab,0,7,AD Mascarenhas,"Punjab Cricket Association Stadium, Mohali"
2012,Chennai,12-04-2012,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,0,5,F du Plessis,"MA Chidambaram Stadium, Chepauk"
2012,Mumbai,11-04-2012,Mumbai Indians,Rajasthan Royals,Mumbai Indians,27,0,KA Pollard,Wankhede Stadium
2012,Delhi,10-04-2012,Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,0,8,M Morkel,Feroz Shah Kotla
2012,Bangalore,10-04-2012,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,42,0,L Balaji,M Chinnaswamy Stadium
2012,Visakhapatnam,09-04-2012,Deccan Chargers,Mumbai Indians,Mumbai Indians,0,5,RG Sharma,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
2012,Jaipur,08-04-2012,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,22,0,BJ Hodge,Sawai Mansingh Stadium
2012,Pune,08-04-2012,Pune Warriors,Kings XI Punjab,Pune Warriors,22,0,MN Samuels,Subrata Roy Sahara Stadium
2012,Visakhapatnam,07-04-2012,Deccan Chargers,Chennai Super Kings,Chennai Super Kings,74,0,RA Jadeja,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
2012,Bangalore,07-04-2012,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,20,0,AB de Villiers,M Chinnaswamy Stadium
2012,Jaipur,06-04-2012,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,31,0,AM Rahane,Sawai Mansingh Stadium
2012,Mumbai,06-04-2012,Mumbai Indians,Pune Warriors,Pune Warriors,28,0,SPD Smith,Wankhede Stadium
2012,Kolkata,05-04-2012,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,0,8,IK Pathan,Eden Gardens
2012,Chennai,04-04-2012,Chennai Super Kings,Mumbai Indians,Mumbai Indians,0,8,RE Levi,"MA Chidambaram Stadium, Chepauk"
2011,Chennai,28-05-2011,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,58,0,M Vijay,"MA Chidambaram Stadium, Chepauk"
2011,Chennai,27-05-2011,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,43,0,CH Gayle,"MA Chidambaram Stadium, Chepauk"
2011,Mumbai,25-05-2011,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,0,4,MM Patel,Wankhede Stadium
2011,Mumbai,24-05-2011,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,0,6,SK Raina,Wankhede Stadium
2011,Bangalore,22-05-2011,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,0,8,CH Gayle,M Chinnaswamy Stadium
2011,Kolkata,22-05-2011,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,0,5,JEC Franklin,Eden Gardens
2011,Delhi,21-05-2011,Delhi Daredevils,Pune Warriors,NA,0,0,None,Feroz Shah Kotla
2011,Dharamsala,21-05-2011,Kings XI Punjab,Deccan Chargers,Deccan Chargers,82,0,S Dhawan,Himachal Pradesh Cricket Association Stadium
2011,Mumbai,20-05-2011,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,0,10,SR Watson,Wankhede Stadium
2011,Mumbai,19-05-2011,Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders,0,7,YK Pathan,Dr DY Patil Sports Academy
2011,Chennai,18-05-2011,Chennai Super Kings,Kochi Tuskers Kerala,Chennai Super Kings,11,0,WP Saha,"MA Chidambaram Stadium, Chepauk"
2011,Dharamsala,17-05-2011,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,111,0,AC Gilchrist,Himachal Pradesh Cricket Association Stadium
2011,Mumbai,16-05-2011,Pune Warriors,Deccan Chargers,Deccan Chargers,0,6,A Mishra,Dr DY Patil Sports Academy
2011,Indore,15-05-2011,Kochi Tuskers Kerala,Rajasthan Royals,Kochi Tuskers Kerala,0,8,BJ Hodge,Holkar Cricket Stadium
2011,Dharamsala,15-05-2011,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,29,0,PP Chawla,Himachal Pradesh Cricket Association Stadium
2011,Mumbai,14-05-2011,Mumbai Indians,Deccan Chargers,Deccan Chargers,10,0,A Mishra,Wankhede Stadium
2011,Bangalore,14-05-2011,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,0,4,CH Gayle,M Chinnaswamy Stadium
2011,Indore,13-05-2011,Kochi Tuskers Kerala,Kings XI Punjab,Kings XI Punjab,0,6,KD Karthik,Holkar Cricket Stadium
2011,Chennai,12-05-2011,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,18,0,MS Dhoni,"MA Chidambaram Stadium, Chepauk"
2011,Jaipur,11-05-2011,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,0,9,S Aravind,Sawai Mansingh Stadium
2011,Hyderabad,10-05-2011,Deccan Chargers,Pune Warriors,Pune Warriors,0,6,MR Marsh,"Rajiv Gandhi International Stadium, Uppal"
2011,Chandigarh,10-05-2011,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,76,0,BA Bhatt,"Punjab Cricket Association Stadium, Mohali"
2011,Jaipur,09-05-2011,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,63,0,M Vijay,Sawai Mansingh Stadium
2011,Bangalore,08-05-2011,Royal Challengers Bangalore,Kochi Tuskers Kerala,Royal Challengers Bangalore,0,9,CH Gayle,M Chinnaswamy Stadium
2011,Chandigarh,08-05-2011,Kings XI Punjab,Pune Warriors,Pune Warriors,0,5,R Sharma,"Punjab Cricket Association Stadium, Mohali"
2011,Kolkata,07-05-2011,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,10,0,Iqbal Abdulla,Eden Gardens
2011,Mumbai,07-05-2011,Mumbai Indians,Delhi Daredevils,Mumbai Indians,32,0,AT Rayudu,Wankhede Stadium
2011,Bangalore,06-05-2011,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,85,0,CH Gayle,M Chinnaswamy Stadium
2011,Kochi,05-05-2011,Kochi Tuskers Kerala,Kolkata Knight Riders,Kochi Tuskers Kerala,17,0,BJ Hodge,Nehru Stadium
2011,Hyderabad,05-05-2011,Deccan Chargers,Delhi Daredevils,Delhi Daredevils,0,4,V Sehwag,"Rajiv Gandhi International Stadium, Uppal"
2011,Mumbai,04-05-2011,Pune Warriors,Mumbai Indians,Mumbai Indians,21,0,R Sharma,Dr DY Patil Sports Academy
2011,Chennai,04-05-2011,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,0,8,MEK Hussey,"MA Chidambaram Stadium, Chepauk"
2011,Hyderabad,03-05-2011,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,20,0,YK Pathan,"Rajiv Gandhi International Stadium, Uppal"
2011,Mumbai,02-05-2011,Mumbai Indians,Kings XI Punjab,Mumbai Indians,23,0,KA Pollard,Wankhede Stadium
2011,Delhi,02-05-2011,Delhi Daredevils,Kochi Tuskers Kerala,Kochi Tuskers Kerala,0,7,P Parameswaran,Feroz Shah Kotla
2011,Chennai,01-05-2011,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,19,0,JA Morkel,"MA Chidambaram Stadium, Chepauk"
2011,Jaipur,01-05-2011,Rajasthan Royals,Pune Warriors,Rajasthan Royals,0,6,LRPL Taylor,Sawai Mansingh Stadium
2011,Kochi,30-04-2011,Kochi Tuskers Kerala,Delhi Daredevils,Delhi Daredevils,38,0,V Sehwag,Nehru Stadium
2011,Kolkata,30-04-2011,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,0,8,Iqbal Abdulla,Eden Gardens
2011,Jaipur,29-04-2011,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,0,7,J Botha,Sawai Mansingh Stadium
2011,Bangalore,29-04-2011,Royal Challengers Bangalore,Pune Warriors,Royal Challengers Bangalore,26,0,V Kohli,M Chinnaswamy Stadium
2011,Delhi,28-04-2011,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,17,0,MK Tiwary,Feroz Shah Kotla
2011,Kochi,27-04-2011,Kochi Tuskers Kerala,Deccan Chargers,Deccan Chargers,55,0,I Sharma,Nehru Stadium
2011,Mumbai,27-04-2011,Pune Warriors,Chennai Super Kings,Chennai Super Kings,0,8,DE Bollinger,Dr DY Patil Sports Academy
2011,Delhi,26-04-2011,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,0,3,V Kohli,Feroz Shah Kotla
2011,Chennai,25-04-2011,Chennai Super Kings,Pune Warriors,Chennai Super Kings,25,0,MEK Hussey,"MA Chidambaram Stadium, Chepauk"
2011,Jaipur,24-04-2011,Rajasthan Royals,Kochi Tuskers Kerala,Rajasthan Royals,0,8,SK Warne,Sawai Mansingh Stadium
2011,Hyderabad,24-04-2011,Deccan Chargers,Mumbai Indians,Mumbai Indians,37,0,SL Malinga,"Rajiv Gandhi International Stadium, Uppal"
2011,Delhi,23-04-2011,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,29,0,DA Warner,Feroz Shah Kotla
2011,Mumbai,22-04-2011,Mumbai Indians,Chennai Super Kings,Mumbai Indians,8,0,Harbhajan Singh,Wankhede Stadium
2011,Kolkata,22-04-2011,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,0,9,CH Gayle,Eden Gardens
2011,Chandigarh,21-04-2011,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,48,0,SE Marsh,"Punjab Cricket Association Stadium, Mohali"
2011,Mumbai,20-04-2011,Mumbai Indians,Pune Warriors,Mumbai Indians,0,7,MM Patel,Wankhede Stadium
2011,Kolkata,20-04-2011,Kolkata Knight Riders,Kochi Tuskers Kerala,Kochi Tuskers Kerala,6,0,DPMD Jayawardene,Eden Gardens
2011,Delhi,19-04-2011,Delhi Daredevils,Deccan Chargers,Deccan Chargers,16,0,S Sohal,Feroz Shah Kotla
2011,Kochi,18-04-2011,Kochi Tuskers Kerala,Chennai Super Kings,Kochi Tuskers Kerala,0,7,BB McCullum,Nehru Stadium
2011,Mumbai,17-04-2011,Pune Warriors,Delhi Daredevils,Delhi Daredevils,0,3,Yuvraj Singh,Dr DY Patil Sports Academy
2011,Kolkata,17-04-2011,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,0,8,L Balaji,Eden Gardens
